hour,dayOfWeek,month,temperature,previousConsumption,energyConsumption
0,3,1,5.61,1.2081,1.1824
1,3,1,6.88,1.132,1.0831
2,3,1,5.26,1.1229,1.2824
3,3,1,3.29,1.2039,1.1628
4,3,1,5.13,1.2137,1.293
5,3,1,3.28,1.0489,1.2157
6,3,1,6.76,5.683,5.6738
7,3,1,3.64,6.2965,6.1213
8,3,1,4.14,4.8082,5.0969
9,3,1,5.73,3.1666,3.2096
10,3,1,11.28,3.5625,3.8927
11,3,1,5.37,3.0849,3.4744
12,3,1,6.77,3.1156,3.4796
13,3,1,8.3,3.5042,3.4472
14,3,1,4.66,3.3974,3.3424
15,3,1,7.46,3.091,3.4055
16,3,1,6.74,2.8456,3.1974
17,3,1,5.14,3.6773,3.741
18,3,1,2.09,6.534,6.9379
19,3,1,3.72,5.1834,5.9381
20,3,1,3.27,6.2164,6.4549
21,3,1,4.33,6.4466,6.7102
22,3,1,6.42,1.6318,1.9059
23,3,1,4.08,1.7358,1.863
0,4,1,2.45,0.968,1.1234
1,4,1,5.99,1.1205,1.1406
2,4,1,4.15,1.2598,1.2818
3,4,1,4.38,1.14,1.2904
4,4,1,4.27,1.076,1.0819
5,4,1,5.97,1.0476,1.1024
6,4,1,5.96,5.4092,5.7591
7,4,1,4.8,5.1126,5.238
8,4,1,1.63,4.3293,4.9557
9,4,1,3.01,3.8046,3.8432
10,4,1,6.24,3.9165,3.8941
11,4,1,8.48,3.1271,3.4575
12,4,1,5.1,3.6123,3.8382
13,4,1,3.55,3.223,3.337
14,4,1,5.81,3.806,3.7996
15,4,1,5.94,3.3585,3.443
16,4,1,8.2,3.1432,3.6259
17,4,1,5.36,2.9555,3.115
18,4,1,6.67,5.1766,5.9455
19,4,1,2.62,6.1958,5.9861
20,4,1,4.22,6.0619,6.2611
21,4,1,4.56,6.829,7.2154
22,4,1,5.63,1.7049,1.7997
23,4,1,10.83,2.1314,2.2102
0,5,1,0.74,0.7267,0.793
1,5,1,4.17,0.7071,0.8277
2,5,1,7.13,0.8077,0.9199
3,5,1,2.93,0.7493,0.7611
4,5,1,4.89,0.8891,0.8858
5,5,1,6.97,0.8278,0.9239
6,5,1,3.07,3.605,3.9007
7,5,1,3.36,3.7769,4.1348
8,5,1,6.86,3.485,3.6568
9,5,1,4.92,2.3895,2.7064
10,5,1,6.09,2.5288,2.4118
11,5,1,7.35,2.6693,2.5962
12,5,1,6.76,2.2474,2.4611
13,5,1,7.44,2.3535,2.5451
14,5,1,7.86,2.3421,2.5951
15,5,1,4.55,2.0094,2.2977
16,5,1,8.45,1.9897,2.2461
17,5,1,7.92,2.3746,2.6702
18,5,1,3.21,5.0682,4.8529
19,5,1,4.99,3.5486,4.1611
20,5,1,7.81,4.0879,4.1479
21,5,1,0.9,4.5061,4.5569
22,5,1,2.56,1.3132,1.2991
23,5,1,6.83,1.2971,1.4803
0,6,1,4.03,0.7581,0.7999
1,6,1,6.08,0.8455,0.9319
2,6,1,3.61,0.7152,0.7442
3,6,1,5.35,0.6678,0.7605
4,6,1,5.46,0.9052,0.934
